Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
191,394,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
192,428,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
193,402,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
194,402,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
195,398,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
196,408,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
197,382,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
198,392,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
199,386,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
200,406,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
