Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
41,398,[  7.        428.8278505],[0.         1.02991394],[  7.         424.34722715],[  7.         429.51954516],"[9, 11, 10, 23, 20, 22, 7, 6, 3, 5, 4, 8, 19, 15, 18, 17, 13, 16, 12, 14, 2, 1, 25, 24, 21]","(7.0, 424.34722714581886)"
42,402,[  7.         428.06168706],[0.        1.1502878],[  7.         423.90145677],[  7.         429.11554908],"[9, 11, 10, 22, 20, 23, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 3, 25, 24, 21]","(7.0, 423.9014567727719)"
43,400,[  7.         426.99290375],[0.         1.02779544],[  7.        420.4529108],[  7.         428.06950051],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 3, 25, 24, 21]","(7.0, 420.45291080127515)"
44,400,[  7.         426.21659126],[0.         1.10318562],[  7.        420.4529108],[  7.         427.13387998],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 3, 25, 24, 21]","(7.0, 420.45291080127515)"
45,394,[  7.         425.20808808],[0.         1.05831807],[  7.        420.4529108],[  7.         426.14680288],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 3, 25, 24, 21]","(7.0, 420.45291080127515)"
46,416,[  7.        424.6039255],[0.         1.17272014],[  7.        420.4529108],[  7.        425.6670031],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 3, 25, 24, 21]","(7.0, 420.45291080127515)"
47,410,[  7.         423.84389613],[0.         1.29528953],[  7.        420.4529108],[  7.         424.82155638],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 3, 25, 24, 21]","(7.0, 420.45291080127515)"
48,406,[  7.         423.01484253],[0.         1.47629645],[  7.        420.4529108],[  7.         424.34722715],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 3, 25, 24, 21]","(7.0, 420.45291080127515)"
49,404,[  7.         421.87134891],[0.         1.41795565],[  7.        420.4529108],[  7.         423.90145677],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 3, 25, 24, 21]","(7.0, 420.45291080127515)"
50,406,[  7.         420.66148632],[0.       0.308795],[  7.        416.3820207],[  7.         420.93271057],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 1, 5, 18, 19, 15, 8, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 416.3820207039888)"
51,406,[  7.         420.43536324],[0.         0.26237377],[  7.        416.3820207],[  7.         420.93271057],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 1, 5, 18, 19, 15, 8, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 416.3820207039888)"
52,428,[  7.         420.40219807],[0.         0.42623517],[  7.        416.3820207],[  7.        420.4529108],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 1, 5, 18, 19, 15, 8, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 416.3820207039888)"
53,406,[  7.         420.32032531],[0.         0.69012312],[  7.         415.76729631],[  7.        420.4529108],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 415.76729630982817)"
54,392,[  7.         420.16985489],[0.         0.97420623],[  7.         415.76729631],[  7.        420.4529108],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 415.76729630982817)"
55,396,[  7.         419.76962073],[0.         1.42329465],[  7.         415.76729631],[  7.        420.4529108],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 415.76729630982817)"
56,406,[  7.         419.00499805],[0.         1.78975508],[  7.         415.76729631],[  7.        420.4529108],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 415.76729630982817)"
57,406,[  7.        417.4919069],[0.         1.48967309],[  7.         415.15245781],[  7.        420.4529108],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 1, 5, 18, 19, 15, 8, 13, 17, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 415.15245780933935)"
58,370,[  7.         416.30695386],[0.         0.20855151],[  7.         415.15245781],[  7.        416.3820207],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 1, 5, 18, 19, 15, 8, 13, 17, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 415.15245780933935)"
59,406,[  7.        416.2041528],[0.         0.34696687],[  7.         413.14959749],[  7.        416.3820207],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 1, 5, 18, 19, 15, 8, 17, 13, 12, 16, 14, 2, 3, 25, 24, 21]","(7.0, 413.1495974918156)"
60,420,[  7.         416.00442412],[0.         0.42835005],[  7.         413.14959749],[  7.        416.3820207],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 1, 5, 18, 19, 15, 8, 17, 13, 12, 16, 14, 2, 3, 25, 24, 21]","(7.0, 413.1495974918156)"
61,402,[  7.         415.65435182],[0.         0.44735311],[  7.         413.01467287],[  7.         415.76729631],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 18, 19, 15, 8, 17, 13, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 413.0146728680996)"
62,406,[  7.        415.5026904],[0.         0.65253384],[  7.         413.01467287],[  7.         415.76729631],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 18, 19, 15, 8, 17, 13, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 413.0146728680996)"
