Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
190,400,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
191,414,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
192,392,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
193,394,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
194,390,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
195,398,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
196,396,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
197,430,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
198,398,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
199,394,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
200,404,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
