Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
46,418,[  7.         419.04905931],[0.        0.3649972],[  7.         415.72278637],[  7.         419.12659959],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 12, 14, 20, 21, 3, 7, 5, 24, 25, 22]","(7.0, 415.7227863667432)"
47,416,[  7.         418.94828488],[0.         0.55664801],[  7.         415.72278637],[  7.         419.12659959],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 12, 14, 20, 21, 3, 7, 5, 24, 25, 22]","(7.0, 415.7227863667432)"
48,396,[  7.         418.74777637],[0.         0.78072042],[  7.         415.72278637],[  7.         419.12659959],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 12, 14, 20, 21, 3, 7, 5, 24, 25, 22]","(7.0, 415.7227863667432)"
49,418,[  7.        418.3152173],[0.        0.9921824],[  7.         415.72278637],[  7.         419.12659959],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 12, 14, 20, 21, 3, 7, 5, 24, 25, 22]","(7.0, 415.7227863667432)"
50,408,[  7.         417.45312668],[0.        0.9219717],[  7.         415.72278637],[  7.         418.99385364],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 12, 14, 20, 21, 3, 7, 5, 24, 25, 22]","(7.0, 415.7227863667432)"
51,402,[  7.         416.81092005],[0.         0.73268056],[  7.         415.59004042],[  7.         417.48173648],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 12, 14, 20, 21, 3, 5, 7, 24, 25, 22]","(7.0, 415.59004041632164)"
52,408,[  7.         416.17041944],[0.        0.5259258],[  7.         415.11854785],[  7.         417.26310623],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 12, 14, 20, 21, 3, 7, 5, 24, 25, 22]","(7.0, 415.1185478523396)"
53,416,[  7.         415.70768358],[0.         0.19738502],[  7.         411.44431459],[  7.         415.72278637],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 3, 7, 5, 24, 25, 22]","(7.0, 411.4443145877539)"
54,402,[  7.         415.67960195],[0.         0.33973516],[  7.         411.44431459],[  7.         415.72278637],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 3, 7, 5, 24, 25, 22]","(7.0, 411.4443145877539)"
55,384,[  7.         415.59869091],[0.         0.60730307],[  7.         411.31156864],[  7.         415.72278637],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 3, 5, 7, 24, 25, 22]","(7.0, 411.31156863733236)"
56,416,[  7.         415.42246814],[0.         0.93113751],[  7.         411.31156864],[  7.         415.72278637],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 3, 5, 7, 24, 25, 22]","(7.0, 411.31156863733236)"
